precinct,region,district,city,lat,lng,voters,ballots,voted,preterm,atHome,electionDay,Dmitriev,Kanopackaya,Lukashenko,Tikhanovskaya,Cherechen,againstAll,invalidBallots,totalBallots,spoiledBallots,unusedBallots,noReport,violations,TikhanovskayaPercentage,turnout,LukashenkoPercentage,outsideBelarus
07-102-0115,Минск,Зарубежный,"Прага, Чехия",50.116797399999996,14.4199062,677.0,485.0,485,198.0,0.0,287.0,2.0,1,22,447,3.0,9.0,1.0,500.0,0.0,15.0,False,,0.9216494845360824,0.7163958641063516,0.04536082474226804,True
07-102-0116,Минск,Зарубежный,"Мури бай Берн, Швейцария",46.9297063,7.4866868,286.0,284.0,284,45.0,0.0,239.0,3.0,4,32,240,0.0,3.0,2.0,286.0,1.0,1.0,False,,0.8450704225352113,0.993006993006993,0.11267605633802817,True
07-102-0117,Минск,Зарубежный,"Накка, Швеция",59.3092328,18.270534299999998,313.0,288.0,288,24.0,0.0,264.0,3.0,0,59,218,3.0,3.0,2.0,331.0,4.0,39.0,False,,0.7569444444444444,0.9201277955271565,0.2048611111111111,True
07-102-0118,Минск,Зарубежный,"Таллинн, Эстония",59.4156992,24.737899,699.0,652.0,652,183.0,0.0,469.0,10.0,7,271,345,4.0,11.0,4.0,667.0,0.0,15.0,False,,0.5291411042944786,0.932761087267525,0.4156441717791411,True
07-003-0002,Минск,Московский,Минск,53.90233370000001,27.5466463,2197.0,1326.0,1326,303.0,18.0,1005.0,15.0,17,354,815,21.0,104.0,,,,,False,,0.6146304675716441,0.6035502958579881,0.2669683257918552,False
07-003-0003,Минск,Московский,Минск,53.899944999999995,27.540029999999998,1248.0,865.0,865,302.0,14.0,549.0,11.0,18,562,65,9.0,183.0,17.0,1500.0,0.0,635.0,False,6.0,0.07514450867052024,0.6931089743589743,0.6497109826589595,False
07-003-0009,Минск,Московский,Минск,53.8950385,27.525505300000003,1868.0,1259.0,1258,563.0,9.0,686.0,12.0,27,817,183,7.0,188.0,24.0,2000.0,1.0,740.0,False,2.0,0.14546899841017488,0.673982869379015,0.6494435612082671,False
07-003-0010,Минск,Московский,Минск,53.8912806,27.520103000000002,2042.0,2229.0,2229,501.0,13.0,1715.0,22.0,15,941,1026,21.0,204.0,,,,,False,2.0,0.46029609690444145,1.0915768854064642,0.42216240466576943,False
07-003-0011,Минск,Московский,Минск,53.891732700000006,27.518117999999998,267.0,267.0,267,,187.0,80.0,3.0,3,183,58,3.0,17.0,,,,,False,1.0,0.21722846441947566,1.0,0.6853932584269663,False
07-003-0016,Минск,Московский,Минск,53.9006011,27.558971999999997,1304.0,848.0,848,312.0,8.0,536.0,12.0,21,568,200,8.0,39.0,,,,,False,,0.2358490566037736,0.6503067484662577,0.6698113207547169,False
07-003-0018,Минск,Московский,Минск,53.8886661,27.5243783,2509.0,1613.0,1613,923.0,7.0,683.0,8.0,56,984,198,17.0,345.0,5.0,2600.0,11.0,976.0,False,12.0,0.12275263484190949,0.6428856117975289,0.6100433973961562,False
07-003-0019,Минск,Московский,Минск,53.8886661,27.5243783,1160.0,1035.0,1035,270.0,2.0,763.0,15.0,8,389,545,16.0,58.0,3.0,1300.0,0.0,265.0,False,24.0,0.5265700483091788,0.8922413793103449,0.37584541062801935,False
07-003-0020,Минск,Московский,Минск,53.8847961,27.523286699999996,2035.0,1896.0,1896,343.0,10.0,1543.0,15.0,12,381,1347,34.0,107.0,,,,,False,15.0,0.7104430379746836,0.9316953316953317,0.20094936708860758,False
07-003-0021,Минск,Московский,Минск,53.88255,27.5166789,2400.0,2396.0,2396,675.0,5.0,1716.0,23.0,19,438,1725,19.0,160.0,12.0,2400.0,4.0,,False,1.0,0.7199499165275459,0.9983333333333333,0.18280467445742904,False
07-003-0022,Минск,Московский,Минск,53.87211529999999,27.5156397,,,838,412.0,12.0,414.0,23.0,21,562,64,8.0,149.0,11.0,1500.0,1.0,651.0,False,,0.07637231503579953,,0.6706443914081146,False
07-003-0024,Минск,Московский,Минск,53.8767926,27.5050006,1509.0,1446.0,1446,513.0,18.0,915.0,23.0,19,605,686,22.0,74.0,16.0,1600.0,,,False,1.0,0.47441217150760717,0.9582504970178927,0.41839557399723376,False
07-003-0025,Минск,Московский,Минск,53.8767926,27.5050006,1980.0,1328.0,1328,653.0,15.0,660.0,19.0,24,871,86,6.0,322.0,,,,,False,1.0,0.06475903614457831,0.6707070707070707,0.6558734939759037,False
07-003-0026,Минск,Московский,Минск,53.882273,27.4983072,1652.0,1382.0,1382,468.0,22.0,892.0,70.0,53,758,255,30.0,129.0,87.0,1800.0,,418.0,False,,0.18451519536903038,0.8365617433414043,0.548480463096961,False
