precinct,region,district,city,lat,lng,voters,ballots,voted,preterm,atHome,electionDay,Dmitriev,Kanopackaya,Lukashenko,Tikhanovskaya,Cherechen,againstAll,invalidBallots,totalBallots,spoiledBallots,unusedBallots,noReport,violations,TikhanovskayaPercentage,turnout,LukashenkoPercentage,outsideBelarus
01-058-0008,Брестская,Ляховичский,д. Гончары,52.962680000000006,26.308252000000003,580.0,501.0,501,111.0,276.0,114.0,6.0,13,317,129,4.0,28.0,4.0,595.0,0.0,94.0,False,2.0,0.25748502994011974,0.8637931034482759,0.6327345309381237,False
01-060-0010,Брестская,Пинск,Пинск,52.1127121,26.087132699999998,1111.0,1055.0,1055,411.0,17.0,627.0,63.0,48,580,206,84.0,74.0,,,,,False,,0.195260663507109,0.9495949594959496,0.5497630331753555,False
01-060-0028,Брестская,Пинск,Пинск,52.1321349,26.113639300000003,654.0,603.0,603,140.0,10.0,453.0,12.0,8,489,81,5.0,8.0,,,,,False,,0.13432835820895522,0.9220183486238532,0.8109452736318408,False
01-060-0033,Брестская,Пинск,Пинск,52.1396467,26.117252,1695.0,1559.0,1559,577.0,13.0,969.0,33.0,47,1271,94,19.0,95.0,,,,,False,,0.06029506093649775,0.91976401179941,0.8152661962796665,False
01-060-0034,Брестская,Пинск,Пинск,52.1396467,26.117252,1452.0,1321.0,1321,476.0,26.0,712.0,27.0,37,1044,76,30.0,107.0,,,,,False,,0.05753217259651779,0.9097796143250688,0.7903103709311128,False
01-060-0040,Брестская,Пинск,Пинск,52.134708700000004,26.101108899999996,1531.0,1349.0,1349,514.0,26.0,809.0,14.0,30,1057,55,13.0,180.0,,,,,False,,0.040770941438102296,0.8811234487263226,0.7835433654558932,False
01-060-0042,Брестская,Пинск,Пинск,52.1393075,26.101678200000002,1325.0,1300.0,1300,448.0,25.0,827.0,28.0,14,1097,52,20.0,89.0,,,,,False,,0.04,0.9811320754716981,0.8438461538461538,False
01-060-0044,Брестская,Пинск,Пинск,52.1382015,26.100337300000003,1802.0,1584.0,1584,393.0,31.0,1160.0,27.0,22,1234,64,26.0,211.0,,,,,False,,0.04040404040404041,0.8790233074361821,0.7790404040404041,False
01-060-0056,Брестская,Пинск,Пинск,52.1323039,26.0725332,1425.0,1284.0,1284,559.0,19.0,706.0,14.0,39,1031,62,12.0,126.0,,,,,False,,0.048286604361370715,0.9010526315789473,0.8029595015576324,False
01-060-0057,Брестская,Пинск,Пинск,52.1323039,26.0725332,1864.0,1671.0,1671,750.0,7.0,914.0,21.0,61,1304,76,25.0,184.0,,,,,False,,0.045481747456612806,0.8964592274678111,0.7803710353081987,False
01-060-0058,Брестская,Пинск,Пинск,52.1323039,26.0725332,1161.0,1030.0,1030,434.0,0.0,596.0,8.0,10,808,57,7.0,140.0,,,,,False,,0.05533980582524272,0.8871662360034454,0.7844660194174757,False
01-060-0059,Брестская,Пинск,Пинск,52.132267399999996,26.0693377,1923.0,1902.0,1902,839.0,22.0,1041.0,28.0,15,1138,615,18.0,88.0,,,,,False,,0.32334384858044163,0.9890795631825273,0.5983175604626709,False
01-060-0060,Брестская,Пинск,Пинск,52.132267399999996,26.0693377,1782.0,1656.0,1656,743.0,14.0,899.0,18.0,24,988,466,32.0,128.0,,,,,False,,0.28140096618357485,0.9292929292929293,0.5966183574879227,False
01-060-0061,Брестская,Пинск,Пинск,52.132267399999996,26.0693377,2169.0,2034.0,2034,960.0,12.0,1062.0,39.0,16,998,793,38.0,150.0,,,,,False,,0.38987217305801375,0.9377593360995851,0.49065880039331367,False
01-062-0009,Брестская,Пружанский,г. Пружаны,52.560033,24.464957000000002,846.0,822.0,822,201.0,48.0,573.0,9.0,8,468,241,14.0,76.0,6.0,850.0,,28.0,False,,0.29318734793187345,0.9716312056737588,0.5693430656934306,False
01-063-0010,Брестская,Столинский,г. Давид-Городок,52.055715299999996,27.204731699999996,1726.0,1213.0,1213,192.0,24.0,997.0,8.0,10,464,634,5.0,69.0,23.0,1760.0,1.0,546.0,False,3.0,0.5226710634789777,0.7027809965237544,0.382522671063479,False
01-063-0015,Брестская,Столинский,р.п. Речица,51.863482899999994,26.7905662,2405.0,2208.0,2208,942.0,26.0,1240.0,40.0,19,1595,392,32.0,120.0,10.0,2510.0,,302.0,False,8.0,0.17753623188405798,0.9180873180873181,0.7223731884057971,False
01-063-0021,Брестская,Столинский,аг. Бережное,51.9961536,27.000107500000002,1397.0,1289.0,1289,743.0,108.0,438.0,6.0,5,1150,66,6.0,42.0,14.0,1470.0,0.0,181.0,False,4.0,0.05120248254460822,0.9226914817465999,0.8921644685802949,False
01-063-0049,Брестская,Столинский,д. Семигостичи,52.0939565,27.4206037,1000.0,826.0,826,453.0,0.0,373.0,10.0,37,583,141,16.0,39.0,,,,,False,,0.17070217917675545,0.826,0.7058111380145279,False
01-142-0002,Брестская,Брестский,агрогородок  Остромечево,52.2643395,23.5915479,1505.0,1359.0,1359,433.0,10.0,916.0,32.0,15,521,641,43.0,89.0,18.0,1575.0,,216.0,False,,0.47167034584253126,0.9029900332225914,0.3833701250919794,False
01-142-0013,Брестская,Брестский,деревня Омелинно,52.2248597,23.7795474,334.0,327.0,327,162.0,6.0,159.0,1.0,3,304,13,1.0,5.0,,,,,False,,0.039755351681957186,0.9790419161676647,0.9296636085626911,False
02-014-0003,Витебская,Витебск - Железнодорожный,Витебск,55.192182700000004,30.1957924,2123.0,1550.0,1550,856.0,47.0,647.0,15.0,8,1270,109,39.0,109.0,,2200.0,,650.0,False,,0.0703225806451613,0.730098916627414,0.8193548387096774,False
02-014-0005,Витебская,Витебск - Железнодорожный,Витебск,55.198167000000005,30.1969577,1459.0,1151.0,1151,531.0,41.0,579.0,14.0,13,864,208,26.0,18.0,8.0,1500.0,,349.0,False,,0.18071242397914858,0.7888965044551063,0.7506516072980017,False
02-014-0012,Витебская,Витебск - Железнодорожный,Витебск,55.2288647,30.1180974,1219.0,1269.0,1269,447.0,20.0,802.0,13.0,32,1018,91,20.0,95.0,,,,,False,5.0,0.07171000788022065,1.041017227235439,0.8022064617809299,False
02-014-0016,Витебская,Витебск - Железнодорожный,Витебск,55.193639000000005,30.1808814,1696.0,1238.0,1238,632.0,43.0,563.0,15.0,10,898,261,14.0,40.0,,,,,False,,0.21082390953150243,0.7299528301886793,0.7253634894991923,False
02-014-0018,Витебская,Витебск - Железнодорожный,Витебск,55.19486070000001,30.1858136,2476.0,1888.0,1888,871.0,26.0,991.0,22.0,14,1471,146,81.0,154.0,,,,,False,,0.07733050847457627,0.7625201938610663,0.7791313559322034,False
02-015-0001,Витебская,Витебск - Октябрьский,Витебск,55.217883799999996,30.2403532,2326.0,1773.0,1773,716.0,418.0,639.0,11.0,23,1353,343,13.0,17.0,13.0,2440.0,,667.0,False,,0.19345741680767062,0.7622527944969906,0.7631133671742809,False
02-015-0009,Витебская,Витебск - Октябрьский,Витебск,55.197263899999996,30.2276158,1833.0,1368.0,1368,792.0,15.0,561.0,10.0,18,1149,129,14.0,48.0,,,,,False,,0.09429824561403509,0.7463175122749591,0.8399122807017544,False
02-015-0015,Витебская,Витебск - Октябрьский,Витебск,55.1996466,30.2023175,1299.0,991.0,991,342.0,231.0,418.0,19.0,6,792,97,16.0,57.0,4.0,1370.0,,379.0,False,9.0,0.09788092835519677,0.7628945342571208,0.7991927346115035,False
02-015-0018,Витебская,Витебск - Октябрьский,Витебск,55.189277100000005,30.2103654,2271.0,1494.0,1494,546.0,12.0,936.0,39.0,10,621,674,24.0,126.0,,,,,False,2.0,0.45113788487282463,0.6578599735799208,0.41566265060240964,False
02-015-0025,Витебская,Витебск - Октябрьский,Витебск,55.1980096,30.257927799999997,1889.0,1258.0,1255,324.0,9.0,925.0,28.0,12,364,672,48.0,129.0,2.0,2000.0,1.0,741.0,False,1.0,0.5354581673306773,0.6659608258337745,0.2900398406374502,False
02-015-0026,Витебская,Витебск - Октябрьский,Витебск,55.1980096,30.257927799999997,2053.0,1563.0,1563,609.0,20.0,934.0,31.0,10,1204,206,27.0,85.0,,,,,False,,0.13179782469609724,0.7613248904042864,0.7703134996801023,False
02-015-0027,Витебская,Витебск - Октябрьский,Витебск,55.199056999999996,30.2504433,1579.0,1146.0,1146,468.0,48.0,630.0,11.0,18,954,128,6.0,26.0,3.0,1660.0,,514.0,False,13.0,0.11169284467713787,0.7257758074730842,0.8324607329842932,False
02-015-0029,Витебская,Витебск - Октябрьский,Витебск,55.19782489999999,30.235891499999997,2320.0,1717.0,1716,954.0,70.0,692.0,7.0,11,1383,176,9.0,130.0,,,,,False,,0.10256410256410256,0.7400862068965517,0.8059440559440559,False
02-015-0030,Витебская,Витебск - Октябрьский,Витебск,55.19782489999999,30.235891499999997,1583.0,1259.0,1259,635.0,84.0,540.0,24.0,3,1062,116,23.0,29.0,2.0,,,,False,,0.09213661636219221,0.7953253316487682,0.8435266084193804,False
02-015-0031,Витебская,Витебск - Октябрьский,Витебск,55.1978855,30.2378901,1976.0,1422.0,1422,647.0,26.0,749.0,3.0,2,1238,169,3.0,7.0,,,,,False,,0.11884669479606189,0.7196356275303644,0.870604781997187,False
02-015-0035,Витебская,Витебск - Октябрьский,Витебск,55.191962800000006,30.2181293,1780.0,1303.0,1300,620.0,70.0,610.0,9.0,21,1105,131,12.0,21.0,1.0,1870.0,0.0,567.0,False,5.0,0.10076923076923076,0.7320224719101124,0.85,False
02-015-0040,Витебская,Витебск - Октябрьский,Витебск,55.185989299999996,30.2234368,1725.0,1385.0,1380,692.0,50.0,638.0,3.0,5,1108,223,2.0,39.0,,,,,False,1.0,0.16159420289855073,0.8028985507246377,0.8028985507246377,False
02-015-0042,Витебская,Витебск - Октябрьский,Витебск,55.1847369,30.2246443,2540.0,1988.0,1988,1008.0,12.0,968.0,30.0,11,1621,237,43.0,46.0,,,,,False,,0.11921529175050302,0.7826771653543307,0.8153923541247485,False
02-015-0043,Витебская,Витебск - Октябрьский,Витебск,55.1847369,30.2246443,2005.0,1618.0,1618,869.0,93.0,656.0,22.0,39,1332,162,34.0,29.0,,2130.0,,512.0,False,,0.10012360939431397,0.8069825436408977,0.823238566131026,False
02-015-0044,Витебская,Витебск - Октябрьский,Витебск,55.1847369,30.2246443,2151.0,1693.0,1693,859.0,83.0,751.0,26.0,18,1392,195,11.0,44.0,7.0,2280.0,,587.0,True,1.0,0.1151801535735381,0.7870757787075778,0.822209096278795,False
02-015-0045,Витебская,Витебск - Октябрьский,Витебск,55.1781968,30.2351773,982.0,676.0,676,370.0,50.0,256.0,6.0,5,488,156,5.0,16.0,,1015.0,1.0,338.0,False,,0.23076923076923078,0.6883910386965377,0.7218934911242604,False
02-016-0005,Витебская,Витебск - Первомайский,Витебск,55.1747919,30.200994,2034.0,1821.0,1821,789.0,46.0,986.0,9.0,14,1598,85,7.0,108.0,,,,,False,2.0,0.046677649643053265,0.8952802359882006,0.8775398132894014,False
02-016-0006,Витебская,Витебск - Первомайский,Витебск,55.178656499999995,30.2028316,892.0,546.0,546,124.0,29.0,393.0,15.0,7,195,284,13.0,32.0,,,,,False,,0.5201465201465202,0.6121076233183856,0.35714285714285715,False
02-016-0012,Витебская,Витебск - Первомайский,Витебск,55.1746938,30.2155826,1505.0,957.0,957,265.0,47.0,645.0,30.0,9,472,329,18.0,99.0,,,,,False,10.0,0.3437826541274817,0.6358803986710964,0.49320794148380354,False
02-016-0013,Витебская,Витебск - Первомайский,Витебск,55.1746938,30.2155826,2132.0,1472.0,1472,355.0,32.0,1085.0,5.0,23,1189,102,4.0,135.0,14.0,2240.0,,768.0,False,16.0,0.06929347826086957,0.6904315196998124,0.8077445652173914,False
02-016-0014,Витебская,Витебск - Первомайский,Витебск,55.1746938,30.2155826,1861.0,1267.0,1267,314.0,35.0,918.0,21.0,10,431,666,19.0,120.0,,,,,False,8.0,0.5256511444356748,0.6808167651800108,0.34017363851617993,False
02-016-0015,Витебская,Витебск - Первомайский,Витебск,55.1797531,30.2123738,1626.0,1057.0,1054,437.0,43.0,577.0,31.0,42,862,62,34.0,23.0,,,,,False,,0.058823529411764705,0.6500615006150061,0.8178368121442126,False
